crystal_system,fold,train_n,test_n,selected_alpha,mae,rmse,r2,actual_min,actual_max,predicted_min,predicted_max
Monoclinic,1,11557,2890,0.001,0.7738709424059782,0.9964785342527864,0.5468341118088155,0.1000999999999999,7.567699999999999,-1.902209477123768,4.954231463805352
Monoclinic,2,11557,2890,0.001,0.8019868708348599,1.0095810543238941,0.5469124824569868,0.1003000000000002,6.8621,-2.3004706582067658,5.07921712159954
Monoclinic,3,11558,2889,0.001,0.8158940901956367,1.0250574356820106,0.531062288409409,0.1004999999999999,7.287599999999999,-1.9583643888726452,4.979912704820305
Monoclinic,4,11558,2889,0.001,0.801177405006042,1.0209781130080364,0.5237029001404419,0.1000999999999998,7.264003728302118,-2.9050010736805407,5.375149494768738
Monoclinic,5,11558,2889,0.001,0.8080730665748863,1.0268304220027566,0.5439072953644757,0.1016999999999999,7.0689,-3.3993870348459536,4.989333283415453
Triclinic,1,7276,1819,0.001,0.6516267214029223,0.8596067619505696,0.5185305050273792,0.1004,6.4799,-1.3524165535902093,4.551968164125615
Triclinic,2,7276,1819,0.001,0.7048681259155629,0.9397421278817709,0.4564783360489726,0.1002,7.668699999999999,-2.869830659207718,4.78426809244808
Triclinic,3,7276,1819,0.001,0.6299525123846297,0.8339475478522258,0.550063365193588,0.1002,6.5095,-2.660741304875131,4.624062595226446
Triclinic,4,7276,1819,0.001,0.6858008920626051,0.9083568676094752,0.48969568225382454,0.1007,6.5007,-2.9447946284441877,4.696181498453567
Triclinic,5,7276,1819,0.001,0.644081883906991,0.8763602311726776,0.4883799872397182,0.1019000000000005,7.4093,-2.511198435003808,4.576318231633277
Orthorhombic,1,6528,1632,0.001,0.7744808817694618,0.9914646788317365,0.618997140084049,0.1068,6.571899999999999,-1.9500868005274206,5.373691083050684
Orthorhombic,2,6528,1632,0.001,0.7713548683461094,0.9850282118296965,0.5445483128974624,0.1021,7.0934,-1.4046788935159427,5.101173555679447
Orthorhombic,3,6528,1632,0.001,0.7722216362782843,1.0016010315233674,0.4989043499949648,0.1015,7.3359,-2.079409732572506,5.5238488178869485
Orthorhombic,4,6528,1632,0.001,0.7715550409508263,1.0033898345784753,0.5100433722844728,0.1013000000000001,8.3751,-2.47820771664984,5.202822126666668
Orthorhombic,5,6528,1632,0.001,0.7894653307886148,1.010473358861336,0.5215018647030805,0.1003,6.7877,-2.9448963100687737,5.367496138426335
Trigonal,1,2236,560,0.001,0.7450678236106842,0.9906798457415747,0.5306329841711974,0.1014,6.5469,-1.224201587929091,5.801263513103721
Trigonal,2,2237,559,0.001,0.7206373252310577,0.9392523499507639,0.526155137698584,0.1152999999999999,6.151999999999999,-0.7768731129532109,5.172038190674986
Trigonal,3,2237,559,0.001,0.7447127723166953,0.9599561511711461,0.5735006447674931,0.1162,6.58,-0.322495479106613,5.756814421440071
Trigonal,4,2237,559,0.001,0.7358427327244658,0.9247545636414284,0.6022036183645056,0.1024,6.5783,-2.536736599977338,5.712045313984032
Trigonal,5,2237,559,0.001,0.7527068634089262,0.9574162145045254,0.5737501568988406,0.1025999999999999,6.998399999999999,-0.23145272701090658,5.070772978743307
Tetragonal,1,2181,546,0.001,0.8330392179558321,1.023687555462178,0.6400235067706954,0.1058000000000003,6.939299999999999,-1.7619655593714891,4.978896218502389
Tetragonal,2,2181,546,0.001,0.7816932298850813,0.9717866673959394,0.4756376667181579,0.1016999999999992,7.281099999999999,-1.2752245096631554,5.3566397603758205
Tetragonal,3,2182,545,0.001,0.821795730513522,1.0521527227863163,0.40994146635110484,0.1060000000000003,7.0842,-0.8493167564630308,4.864182102254982
Tetragonal,4,2182,545,0.001995262314968879,0.8028521753201516,1.0013458780972762,0.5002558193901085,0.1017999999999998,7.654599999999999,-2.717305602542564,5.533911243770985
Tetragonal,5,2182,545,0.001,0.7721053624496885,1.0026860366714174,0.45832124321201373,0.1002999999999998,5.958,-2.2614277532779017,4.987139644809714
Cubic,1,1425,357,0.001995262314968879,0.7914796704142917,0.9863908098860771,0.5955537032754085,0.1116000000000001,6.1956,-0.7820956185731749,5.289864612733307
Cubic,2,1425,357,0.001995262314968879,0.7803552578785052,0.9736536160475466,0.47735160287180134,0.1234999999999999,6.920100000000001,-1.4604894888677364,5.4297781731397325
Cubic,3,1426,356,0.001995262314968879,0.7057239882198724,0.9097482144586246,0.5210251894223541,0.1085,6.4019,-1.6523630576647723,5.672170286960929
Cubic,4,1426,356,0.001995262314968879,0.780951495153585,1.0145942116790376,0.4284719202227677,0.1227999999999998,7.0739,-0.6817272944978554,5.443456420508909
Cubic,5,1426,356,0.001995262314968879,0.7893065631608511,1.0209734769192076,0.4109594753544499,0.1008,8.1681,-1.207022218646011,4.904830743961011
Hexagonal,1,856,215,0.00794328234724282,0.8163845844045718,1.0253716883430615,0.6171752713619315,0.1408,6.4819,-0.27865338486227875,4.859298967196824
Hexagonal,2,857,214,0.003981071705534973,0.754133243597993,0.9953897232763947,0.5632087931888874,0.1219,6.273,0.04730112166013978,5.118097066588751
Hexagonal,3,857,214,0.00794328234724282,0.7517479822957953,0.9944510561385532,0.5564052952161412,0.1064,5.508,-0.13293417972276345,4.797595730162135
Hexagonal,4,857,214,0.003981071705534973,0.8014426341108731,1.0333467810586034,0.47416905499192996,0.1276999999999999,6.2701,-1.0221332772606795,5.182724991598949
Hexagonal,5,857,214,0.01584893192461114,0.9174786178134895,1.2521966546874737,0.36113626342786564,0.1039000000000003,7.463099999999999,-1.7693900768069675,4.776275520504962
